36
1;K;H;2;2;-200;;14102019;;
2;D;H;1;1;-20;;09112019;;
3;D;H;3;3;+20;;11112019;;
4;D;P;4;4;+350;5;12112019;1;
5;D;P;1;1;-350;4;12112019;4;
6;K;H;5;5;+14;;18112019;;
7;K;H;2;2;-200;;21112019;;
8;D;P;11;11;-20;9;23112019;7;
9;D;P;7;8;+20;8;25112019;11;
10;D;P;4;4;+350;11;01122019;1;
11;D;P;1;1;-350;10;01122019;4;
12;K;H;12;12;+14;;06122019;;
13;K;H;8;15;-200;;12122019;;
14;D;P;11;11;-20;15;15122019;3;
15;D;P;3;3;+20;14;15122019;11;
16;D;P;4;4;+350;17;28122019;1;
17;D;P;1;1;-350;16;28122019;4;
18;K;H;5;5;+14;;30122019;;
19;K;H;2;13;-200;;03012020;;
20;D;P;20;19;-20;21;07012020;21;
21;D;P;21;22;+20;20;07012020;20;
22;D;H;21;21;+20;;11012020;;
23;C;P;3;3;-3.0;24;27012020;2;
24;D;P;2;2;+3.0;23;27012020;3;
25;C;P;1;1;-11.0;26;30012020;3;
26;D;P;3;3;+11.0;25;30012020;1;
27;C;P;9;9;-5.0;28;30012020;3;
28;D;P;3;3;+5.0;27;30012020;9;
29;C;P;1;1;-5.0;30;30012020;2;
30;D;P;2;2;+5.0;29;30012020;1;
31;C;P;1;1;-2.0;32;30012020;2;
32;D;P;2;2;+2.0;31;30012020;1;
33;D;P;1;5;-10;38;02022020;1;
34;D;P;5;1;+10;37;02022020;5;
35;D;P;1;1;-15;40;02022020;12;
36;D;P;12;12;+15;39;02022020;1;
